timestamp,aqius,main_pollutant,temperature,humidity,wind_speed,aqi,pm2_5,pm10,no2,so2,co,no,o3,nh3,hour,dayofweek,target_aqi
2025-07-04 16:29:03.790679,159,p2,35,49,2.39,53.88,76.52,19.32,3.19,775.09,0.0,78.05,39.08,,16,4,159.0
2025-07-04 16:31:47.019312,159,p2,35,49,2.39,53.62,75.62,18.81,2.88,795.15,0.0,66.64,35.78,,16,4,159.0
2025-07-04 16:40:15.156636,159,p2,35,49,2.39,53.62,75.62,18.81,2.88,795.15,0.0,66.64,35.78,,16,4,159.0
2025-07-04 16:51:12.690482,159,p2,35,49,2.39,53.62,75.62,18.81,2.88,795.15,0.0,66.64,35.78,,16,4,160.0
2025-07-04 17:18:25.444564,160,p2,35,51,3.14,53.62,75.62,18.81,2.88,795.15,0.0,66.64,35.78,,17,4,165.0
2025-07-04 18:28:39.721203,165,p2,34,52,3.39,52.69,73.61,18.17,2.67,798.63,0.0,61.18,33.23,,18,4,171.0
2025-07-04 19:17:30.046877,171,p2,34,52,3.51,48.6,67.96,13.01,3.04,693.3,0.0,76.43,26.4,,19,4,172.0
2025-07-04 20:22:24.451321,172,p2,33,57,3.5,48.97,67.08,10.82,3.63,662.49,0.0,82.01,24.37,,20,4,170.0
2025-07-04 21:20:03.882628,170,p2,33,58,3.38,51.27,69.07,9.48,4.09,658.16,0.0,83.6,23.92,,21,4,167.0
2025-07-04 22:20:13.406734,167,p2,33,58,3.57,53.4,72.42,8.37,4.35,653.48,0.0,83.58,23.05,,22,4,167.0
2025-07-04 23:19:47.250123,167,p2,32,58,3.49,54.45,76.02,7.84,4.18,650.0,0.0,80.04,21.99,,23,4,168.0
2025-07-05 01:41:03.979049,168,p2,32,62,3.55,50.43,85.65,7.88,2.84,604.96,0.13,63.79,19.98,,1,5,163.0
2025-07-05 03:14:52.072373,163,p2,34,66,3.91,47.04,90.62,7.92,2.69,571.49,0.38,62.0,19.41,,3,5,157.0
2025-07-05 04:27:39.979010,157,p2,32,63,3.38,42.8,97.98,6.47,2.65,496.67,0.35,66.77,16.67,,4,5,157.0
2025-07-05 05:20:28.041927,157,p2,33,69,3.15,41.61,101.23,5.24,2.41,455.59,0.4,73.18,15.5,,5,5,156.0
2025-07-05 06:28:49.975650,156,p2,34,57,2.81,43.28,105.21,4.08,2.21,429.62,0.35,84.02,15.03,,6,5,156.0
2025-07-05 07:19:31.578977,156,p2,34,62,1.0,37.24,103.76,2.5,1.79,336.66,0.13,91.51,10.94,,7,5,151.0
2025-07-05 08:26:03.397317,151,p2,36,61,0.92,32.61,93.32,1.74,1.36,289.73,0.1,93.07,8.7,,8,5,149.0
2025-07-05 09:20:34.330945,149,p2,39,59,1.86,31.68,88.51,1.56,1.17,277.3,0.09,93.82,8.37,,9,5,137.0
2025-07-05 10:20:39.183073,137,p2,39,58,2.21,32.26,87.05,1.95,1.12,283.58,0.12,93.35,9.56,,10,5,132.0
2025-07-05 11:17:00.843251,132,p2,38,49,2.23,33.44,87.42,2.61,1.14,296.79,0.21,91.95,11.55,,11,5,129.0
2025-07-05 12:38:56.071743,129,p2,37,49,2.88,36.72,89.69,6.6,1.41,364.3,0.31,82.09,18.39,,12,5,127.0
2025-07-05 13:28:52.692407,127,p2,35,59,3.49,29.95,75.31,8.34,1.6,384.5,0.19,67.38,20.53,,13,5,127.0
2025-07-05 14:20:12.245504,127,p2,35,66,3.15,31.24,74.42,11.86,1.82,447.76,0.03,56.05,24.03,,14,5,134.0
2025-07-05 15:20:07.163434,134,p2,37,59,3.09,32.34,73.24,14.23,2.01,501.64,0.0,47.33,27.04,,15,5,152.0
2025-07-05 16:24:10.204709,152,p2,36,61,3.55,33.13,71.69,15.94,2.09,539.84,0.0,40.79,29.0,,16,5,157.0
2025-07-05 17:17:42.157630,157,p2,35,56,4.57,34.09,71.06,17.02,2.15,570.48,0.0,36.56,29.49,,17,5,174.0
2025-07-05 18:26:56.897396,174,p2,35,52,4.0,34.29,70.28,17.45,2.18,582.07,0.0,35.05,29.13,,18,5,171.0
2025-07-05 19:16:39.870354,171,p2,34,59,4.94,29.86,68.13,11.68,2.67,458.83,0.0,48.38,21.64,,19,5,154.0
2025-07-05 20:21:26.293114,154,p2,32,67,5.05,27.51,65.39,10.41,3.16,408.82,0.0,49.14,19.36,,20,5,131.0
2025-07-05 21:19:22.135926,131,p2,31,70,5.18,25.23,62.63,9.4,3.68,360.82,0.0,48.58,17.57,,21,5,102.0
2025-07-05 22:19:10.211166,102,p2,31,69,3.01,22.78,61.15,7.81,4.01,302.05,0.0,48.94,15.19,,22,5,102.0
2025-07-05 23:19:39.691191,102,p2,31,67,3.32,21.5,62.96,6.64,3.69,265.71,0.0,49.0,14.41,,23,5,75.0
2025-07-06 01:52:43.931881,75,p2,30,77,4.21,19.16,58.93,5.7,2.19,234.39,0.03,45.13,12.15,,1,6,58.0
2025-07-06 03:27:59.083400,58,p2,28,94,4.09,18.88,53.26,6.66,2.28,250.01,0.06,42.5,10.43,,3,6,62.0
2025-07-06 04:34:09.877866,62,p2,28,94,4.18,17.46,35.97,7.89,2.57,274.69,0.25,39.19,7.31,,4,6,69.0
2025-07-06 05:20:55.862324,69,p2,29,93,3.34,17.46,35.97,7.89,2.57,274.69,0.25,39.19,7.31,,5,6,60.0
2025-07-06 06:29:57.290497,60,p2,30,75,2.9,16.49,30.86,7.67,2.65,273.24,0.62,39.3,6.73,,6,6,55.0
2025-07-06 07:19:17.823113,55,p2,28,74,1.62,18.78,33.05,5.14,2.78,258.99,1.33,55.97,6.94,,7,6,
